Fecha,AAPL,SPY,EWZ,CEPU,IBM,Tipo_Cambio_ARSUSD,TNA_PlazoFijo,Tasa_PlazoFijo_Diaria,Retorno_AAPL,Retorno_SPY,Retorno_EWZ,Retorno_CEPU,Retorno_IBM,IBM_USD_Original,TOTAL_CARTERA,Retorno_TOTAL_CARTERA
2025-01-08,14400.0,35074.93,13625.0,1875,5469.339601114464,1192.2,30.32,0.0008306849315068493,0.001739130434782687,-0.001423490381333159,-0.0126811594202898,-0.0234375,-0.005068426285595784,218.7583465576172,21931.0427063776,-0.002357615074782826
2025-01-09,14375.0,35524.93,13925.0,1870,5454.200513139562,1188.9,31.07,0.0008512328767123288,-0.00173611111111116,0.01282967635288235,0.02201834862385321,-0.002666666666666706,-0.0027679919476599757,218.7583465576172,22172.949773901633,0.011030349571736764
2025-01-10,14075.0,34649.93,13550.0,1815,5415.09545220393,1198.8,31.55,0.0008643835616438356,-0.02086956521739125,-0.02463059040510429,-0.02692998204667862,-0.02941176470588236,-0.007169714578960651,215.3963012695312,21640.085797393054,-0.02403216450414636
2025-01-13,13925.0,34624.93,13625.0,1715,5238.316875174701,1172.2,31.07,0.0008512328767123288,-0.01065719360568385,-0.0007215021790808462,0.005535055350553542,-0.05509641873278237,-0.03264551448622777,213.0928649902344,21587.63957662043,-0.002423568060850423
2025-01-14,13950.0,34649.93,13725.0,1765,5330.898694978411,1191.0,32.28,0.0008843835616438357,0.001795332136445227,0.0007220231203355354,0.007339449541284404,0.02915451895043741,0.01767396322327719,213.4359283447266,21631.907318750687,0.002050605948517026
2025-01-15,14150.0,35274.93,14050.0,1720,5378.123745956023,1189.1,30.72,0.0008416438356164383,0.01433691756272393,0.01803755447702193,0.02367941712204003,-0.0254957507082153,0.008858741026554817,215.6707611083984,22015.755719897817,0.017744547232522834
2025-01-16,13650.0,35249.93,13875.0,1625,5453.393021986751,1191.5,30.13,0.0008254794520547945,-0.03533568904593642,-0.0007087186282155322,-0.01245551601423489,-0.05523255813953487,0.013995452612507231,218.2486724853516,21835.06760713498,-0.008207218278659001
2025-01-17,13650.0,35574.93,14025.0,1530,5497.705038914312,1189.8,31.27,0.0008567123287671233,0.0,0.009219876465002885,0.0108108108108107,-0.05846153846153845,0.008125586538308527,220.3364410400391,21999.90732060779,0.007549310880949234
2025-01-20,13800.0,35824.93,14400.0,1540,5497.705038914312,1189.8,29.82,0.000816986301369863,0.01098901098901095,0.007027420714531329,0.02673796791443861,0.006535947712418277,0.0,220.3364410400391,22219.33334828187,0.009973952366087557
2025-01-21,13125.0,35724.93,14125.0,1675,5479.211000019629,1188.6,30.39,0.0008326027397260274,-0.04891304347826086,-0.002791352278985637,-0.01909722222222221,0.08766233766233755,-0.003363956189678663,219.8169403076172,21947.979398170675,-0.012212515373787203
2025-01-22,13275.0,36149.93,14475.0,1735,5453.860972506864,1188.4,30.34,0.0008312328767123287,0.01142857142857134,0.01189645438073628,0.02477876106194699,0.03582089552238799,-0.004626583556040176,218.8367614746094,22239.18767758826,0.01326811339370293
