Date;AAPL;IBM;EWZ;SPY;CEPU.BA;^MERV;GGAL.BA;PAMP.BA;TXAR.BA;ALUA.BA;COME.BA;CRES.BA;BYMA.BA;YPFD.BA;BMA.BA;^GSPC;^IXIC;VTI;QQQ;IVV;VEA;VWO;MSFT;GOOGL;AMZN;TSLA;NVDA;META;NFLX;DIS
2020-01-02 03:00:00+00:00;4342.054913585307;6019.693962950259;1980.900322655798;17922.05809627194;34.04965591430664;41107.0;94.85741424560548;48.25;21.842920303344727;30.8549919128418;0.5742207765579224;37.56170654296875;2.9905948638916016;837.8499755859375;219.7734222412109;195010.4348578677;544246.038447097;9093.103287775302;12515.905016273027;17957.41100198822;2258.8041566620814;2326.048980186169;9145.867769001052;4071.943953851005;5680.613508472452;1716.9848669412022;357.4604877933598;12488.629042950924;19741.97373005096;8725.58687986224
2020-01-02 05:00:00+00:00;4342.054913585307;6019.693962950259;1980.900322655798;17922.05809627194;34.04965591430664;41107.0;94.85741424560548;48.25;21.842920303344727;30.8549919128418;0.5742207765579224;37.56170654296875;2.9905948638916016;837.8499755859375;219.7734222412109;195010.4348578677;544246.038447097;9093.103287775302;12515.905016273027;17957.41100198822;2258.8041566620814;2326.048980186169;9145.867769001052;4071.943953851005;5680.613508472452;1716.9848669412022;357.4604877933598;12488.629042950924;19741.97373005096;8725.58687986224
2020-01-03 03:00:00+00:00;4342.054913585307;6019.693962950259;1980.900322655798;17922.05809627194;31.83864021301269;40499.0;93.1607666015625;48.45000076293945;20.84611701965332;29.119400024414062;0.5513538122177124;36.92948532104492;2.971696615219116;841.5999755859375;217.5970916748047;195010.4348578677;544246.038447097;9093.103287775302;12515.905016273027;17957.41100198822;2258.8041566620814;2326.048980186169;9145.867769001052;4071.943953851005;5680.613508472452;1716.9848669412022;357.4604877933598;12488.629042950924;19741.97373005096;8725.58687986224
2020-01-03 05:00:00+00:00;4295.55131854245;5965.727787227195;1961.754734609029;17768.60240348382;31.83864021301269;40499.0;93.1607666015625;48.45000076293945;20.84611701965332;29.119400024414062;0.5513538122177124;36.92948532104492;2.971696615219116;841.5999755859375;217.5970916748047;193440.47945938815;539432.100573048;9026.21500807855;12388.884863034997;17801.511142942938;2229.117940505836;2282.387970206328;9022.97030454845;4046.600618982513;5606.057054455421;1766.100754169791;351.3880875199193;12410.15427790751;19488.461341940914;8616.888723069336
2020-01-06 03:00:00+00:00;4295.55131854245;5965.727787227195;1961.754734609029;17768.60240348382;33.36178207397461;41470.0;96.32267761230467;48.400001525878906;21.23617172241211;29.79435157775879;0.571679949760437;37.67327880859375;2.929176092147827;860.7999877929688;224.20677185058597;193440.47945938815;539432.100573048;9026.21500807855;12388.884863034997;17801.511142942938;2229.117940505836;2282.387970206328;9022.97030454845;4046.600618982513;5606.057054455421;1766.100754169791;351.3880875199193;12410.15427790751;19488.461341940914;8616.888723069336
2020-01-06 05:00:00+00:00;4323.458685080084;5946.375732149725;1928.685007403852;17810.34880501509;33.36178207397461;41470.0;96.32267761230467;48.400001525878906;21.23617172241211;29.79435157775879;0.571679949760437;37.67327880859375;2.929176092147827;860.7999877929688;224.20677185058597;193840.56629541423;541671.9485254772;9043.828748015689;12450.506766583365;17845.777054449893;2233.472595441184;2274.978743109634;9033.087475703504;4148.394351150258;5681.200059433992;1797.478325186814;352.3465494832981;12625.42304242932;20052.94496736594;8554.386078938842
2020-01-07 03:00:00+00:00;4323.458685080084;5946.375732149725;1928.685007403852;17810.34880501509;33.06698226928711;41116.0;95.62858581542967;47.54999923706055;21.32284927368164;29.60150909423828;0.5589762926101685;38.603023529052734;2.929176092147827;837.9000244140625;221.18405151367188;193840.56629541423;541671.9485254772;9043.828748015689;12450.506766583365;17845.777054449893;2233.472595441184;2274.978743109634;9033.087475703504;4148.394351150258;5681.200059433992;1797.478325186814;352.3465494832981;12625.42304242932;20052.94496736594;8554.386078938842
2020-01-07 05:00:00+00:00;4304.263365787454;5951.939416288398;1927.9703430442603;17764.96948187705;33.06698226928711;41116.0;95.62858581542967;47.54999923706055;21.32284927368164;29.60150909423828;0.5589762926101685;38.603023529052734;2.929176092147827;837.9000244140625;221.18405151367188;193348.2968649492;541642.5871021152;9024.76927205408;12452.0655274787;17801.631977346726;2230.5108906534733;2274.560248293914;8953.095679190475;4141.475797966588;5694.588347176556;1867.7151608132408;356.7065127185342;12656.085187872872;19754.83307647705;8559.585380545352
2020-01-08 03:00:00+00:00;4304.263365787454;5951.939416288398;1927.9703430442603;17764.96948187705;32.428245544433594;41016.0;97.09388732910156;46.20000076293945;21.01947593688965;28.83013153076172;0.5462720990180969;37.07823944091797;2.8252370357513428;843.2999877929688;224.8516540527344;193348.2968649492;541642.5871021152;9024.76927205408;12452.0655274787;17801.631977346726;2230.5108906534733;2274.560248293914;8953.095679190475;4141.475797966588;5694.588347176556;1867.7151608132408;356.7065127185342;12656.085187872872;19754.83307647705;8559.585380545352
2020-01-08 05:00:00+00:00;4375.034888862167;6003.718024673697;1920.068001246691;17865.900960325263;32.428245544433594;41016.0;97.09388732910156;46.20000076293945;21.01947593688965;28.83013153076172;0.5462720990180969;37.07823944091797;2.8252370357513428;843.2999877929688;224.8516540527344;194364.20582457815;545456.5719255656;9072.491420928156;12550.05099598202;17898.501052838517;2234.3380258705;2285.555444274185;9098.88748554408;4172.41389045812;5652.099615354964;1960.3018743023856;357.5006687963687;12788.868235031725;20270.208381788805;8544.951213644352
