horizonte,retorno_esperado,prob_ganancia,prob_perdida_10pct,mejor_caso_5pct,peor_caso_5pct
1M,0.030974845249850922,0.6564,0.0241,0.149598224600562,-0.07927375920701554
3M,0.09446260337405844,0.7504,0.0649,0.3304532449677849,-0.11621605356422074
6M,0.19672884574900126,0.8239,0.0595,0.5694613065936334,-0.11441558296631751
12M,0.44172511433991923,0.9077,0.0412,1.1137178721813934,-0.07740562439057709
