Date;AAPL;IBM;EWZ;SPY;CEPU.BA;^MERV;GGAL.BA;PAMP.BA;TXAR.BA;ALUA.BA;COME.BA;CRES.BA;BYMA.BA;^GSPC;^IXIC;VTI;QQQ;IVV;VEA;VWO;MSFT;GOOGL;AMZN;TSLA;NVDA;META;NFLX;DIS;YPFD.BA;BMA.BA;SUPV.BA;TRAN.BA;TGSU2.BA;TGNO4.BA;TECO2.BA;EDN.BA;METR.BA;BBAR.BA;VALO.BA;IRSA.BA;CVH.BA;LOMA.BA;USD_ARS_Rate
2025-01-09 03:00:00+00:00;250363.99723012187;226467.41525789537;23242.640004999703;606639.964183405;1870.0;2829730.0;8482.146484375;4575.0;878.0;918.0;123.74601745605469;1595.0;256.9799499511719;6126809.794647217;20165318.808429003;299995.2273401581;532036.3307533562;609256.8772993237;49328.118768255226;44929.4856397165;437119.6169446595;200311.34781289473;229957.8912011236;408857.73248105496;145024.0823383052;631194.1864808798;905835.0982666016;113145.46042302437;55100.0;13908.7138671875;4522.92431640625;2535.179443359375;7644.22509765625;3850.709716796875;3280.0;2340.0;2920.0;9277.638671875;448.6842956542969;1910.0;8020.0;3000.0;
2025-01-10 03:00:00+00:00;250363.99723012187;226467.41525789537;23242.640004999703;606639.964183405;1815.0;2805140.0;8472.328125;4530.0;901.0;931.0;120.2229995727539;1595.0;256.9799499511719;6126809.794647217;20165318.808429003;299995.2273401581;532036.3307533562;609256.8772993237;49328.118768255226;44929.4856397165;437119.6169446595;200311.34781289473;229957.8912011236;408857.73248105496;145024.0823383052;631194.1864808798;905835.0982666016;113145.46042302437;54900.0;13418.107421875;4562.25390625;2461.38134765625;7337.30517578125;3654.381591796875;3240.0;2235.0;2920.0;9337.1748046875;449.6813659667969;1890.0;8080.0;3040.0;
2025-01-10 05:00:00+00:00;244688.03105690517;223314.3135208767;23093.564583645202;598255.2076350674;1815.0;2805140.0;8472.328125;4530.0;901.0;931.0;120.2229995727539;1595.0;256.9799499511719;6041242.799111724;19866014.935957193;295924.2402827479;524462.3624946252;601022.7066808343;48663.37559469184;44210.59159997199;431976.98655802384;198629.89575733617;226988.26579531282;409250.6843163073;140883.3403996732;637441.0577913374;868483.5973687991;112165.6732408125;54900.0;13418.107421875;4562.25390625;2461.38134765625;7337.30517578125;3654.381591796875;3240.0;2235.0;2920.0;9337.1748046875;449.6813659667969;1890.0;8080.0;3040.0;
2025-01-13 03:00:00+00:00;244688.03105690517;223314.3135208767;23093.564583645202;598255.2076350674;1715.0;2655179.0;7961.8291015625;4305.0;873.0;904.0;108.99337768554688;1540.0;244.7309112548828;6041242.799111724;19866014.935957193;295924.2402827479;524462.3624946252;601022.7066808343;48663.37559469184;44210.59159997199;431976.98655802384;198629.89575733617;226988.26579531282;409250.6843163073;140883.3403996732;637441.0577913374;868483.5973687991;112165.6732408125;53450.0;12485.9521484375;4267.28076171875;2300.761962890625;6752.2392578125;3533.907470703125;3050.0;2025.0;2825.0;8573.1337890625;446.6901550292969;1840.0;7780.0;2790.0;
2025-01-13 05:00:00+00:00;242191.38424611278;220957.60967421904;23219.000657932134;599268.0350497663;1715.0;2655179.0;7961.8291015625;4305.0;873.0;904.0;108.99337768554688;1540.0;244.7309112548828;6051621.053869307;19792595.416576624;296450.48211317137;522851.22377128154;601984.031713821;48537.183049539104;43896.69089303445;430223.45969052985;197592.66533267498;226522.83967894502;418195.1987099424;138124.90102154016;629736.7520478442;871303.0583479777;111593.09760804847;53450.0;12485.9521484375;4267.28076171875;2300.761962890625;6752.2392578125;3533.907470703125;3050.0;2025.0;2825.0;8573.1337890625;446.6901550292969;1840.0;7780.0;2790.0;
2025-01-14 03:00:00+00:00;242191.38424611278;220957.60967421904;23219.000657932134;599268.0350497663;1765.0;2733273.0;8275.982421875;4465.0;846.0;873.0;111.41545867919922;1570.0;246.7307586669922;6051621.053869307;19792595.416576624;296450.48211317137;522851.22377128154;601984.031713821;48537.183049539104;43896.69089303445;430223.45969052985;197592.66533267498;226522.83967894502;418195.1987099424;138124.90102154016;629736.7520478442;871303.0583479777;111593.09760804847;53950.0;13418.107421875;4488.5107421875;2322.46728515625;6963.24658203125;3645.45751953125;3185.0;2155.0;2855.0;9118.8759765625;450.6784362792969;1835.0;7980.0;2860.0;
2025-01-14 05:00:00+00:00;241640.31518254802;221869.90428815223;23440.67174900463;601601.817764774;1765.0;2733273.0;8275.982421875;4465.0;846.0;873.0;111.41545867919922;1570.0;246.7307586669922;6073794.26315546;19796934.64902687;297867.31104177237;523668.40583977476;604334.7328195274;48844.02812289912;44535.16948695388;429733.9837408066;196689.56007032096;226364.8370436784;412022.2527463585;136944.41351659782;616708.2890206724;861134.4657596499;111915.14448007662;53950.0;13418.107421875;4488.5107421875;2322.46728515625;6963.24658203125;3645.45751953125;3185.0;2155.0;2855.0;9118.8759765625;450.6784362792969;1835.0;7980.0;2860.0;
2025-01-15 03:00:00+00:00;241640.31518254802;221869.90428815223;23440.67174900463;601601.817764774;1720.0;2704474.0;8325.0693359375;4420.0;819.0;838.0;107.78234100341797;1530.0;244.7309112548828;6073794.26315546;19796934.64902687;297867.31104177237;523668.40583977476;604334.7328195274;48844.02812289912;44535.16948695388;429733.9837408066;196689.56007032096;226364.8370436784;412022.2527463585;136944.41351659782;616708.2890206724;861134.4657596499;111915.14448007662;53500.0;13418.107421875;4365.60498046875;2322.46728515625;6828.96923828125;3707.925537109375;3085.0;2105.0;2750.0;9069.2626953125;458.1565246582031;1860.0;7820.0;2765.0;
2025-01-15 05:00:00+00:00;246538.0335650146;224323.36568299867;24281.374914875487;612901.0212071314;1720.0;2704474.0;8325.0693359375;4420.0;819.0;838.0;107.78234100341797;1530.0;244.7309112548828;6188617.617436886;20294011.412918568;303506.89113988355;536027.4669700563;615684.2169651389;49478.44097761484;45027.28227403853;440990.16561274976;202915.7363282442;232310.6982001923;445399.9764869623;141683.01726552844;640814.8729622439;882291.7830260694;112042.33319105674;53500.0;13418.107421875;4365.60498046875;2322.46728515625;6828.96923828125;3707.925537109375;3085.0;2105.0;2750.0;9069.2626953125;458.1565246582031;1860.0;7820.0;2765.0;
2025-01-16 03:00:00+00:00;246538.0335650146;224323.36568299867;24281.374914875487;612901.0212071314;1625.0;2629377.0;8217.0771484375;4290.0;800.0;816.0;102.60791015625;1455.0;237.73146057128906;6188617.617436886;20294011.412918568;303506.89113988355;536027.4669700563;615684.2169651389;49478.44097761484;45027.28227403853;440990.16561274976;202915.7363282442;232310.6982001923;445399.9764869623;141683.01726552844;640814.8729622439;882291.7830260694;112042.33319105674;52150.0;13074.681640625;4208.2861328125;2209.599853515625;6589.18798828125;3654.381591796875;2965.0;2000.0;2610.0;8920.4248046875;457.159423828125;1805.0;7550.0;2660.0;
